method,date,proportion_of_files_available,species,ten_minute,sixty_minute
didson sonar,8/1/2018,0.96,sockeye,6168,6717
didson sonar,8/2/2018,0.97,sockeye,6324,5744
didson sonar,8/3/2018,0.8,sockeye,4782,2786
didson sonar,8/4/2018,1,sockeye,8058,10566
didson sonar,8/5/2018,1,sockeye,5409,5418
didson sonar,8/6/2018,1,sockeye,6296,5706
didson sonar,8/7/2018,1,sockeye,3161,3633
didson sonar,8/8/2018,1,sockeye,2262,1798
didson sonar,8/9/2018,1,sockeye,6299,5975
didson sonar,8/10/2018,1,sockeye,2420,2544
didson sonar,8/11/2018,1,sockeye,3465,2496
didson sonar,8/12/2018,0.9,sockeye,867,1098
didson sonar,8/13/2018,1,sockeye,4438,3915
didson sonar,8/14/2018,1,sockeye,2146,2527
didson sonar,8/15/2018,1,sockeye,2383,2527
didson sonar,8/16/2018,1,sockeye,5080,5126
didson sonar,8/17/2018,1,sockeye,1505,1761
didson sonar,8/18/2018,1,sockeye,594,805
didson sonar,8/1/2018,0.96,Chinook,0,0
didson sonar,8/2/2018,0.97,Chinook,0,0
didson sonar,8/3/2018,0.8,Chinook,0,0
didson sonar,8/4/2018,1,Chinook,0,0
didson sonar,8/5/2018,1,Chinook,0,0
didson sonar,8/6/2018,1,Chinook,0,0
didson sonar,8/7/2018,1,Chinook,0,0
didson sonar,8/8/2018,1,Chinook,0,0
didson sonar,8/9/2018,1,Chinook,0,0
didson sonar,8/10/2018,1,Chinook,0,0
didson sonar,8/11/2018,1,Chinook,0,0
didson sonar,8/12/2018,0.9,Chinook,0,0
didson sonar,8/13/2018,1,Chinook,0,0
didson sonar,8/14/2018,1,Chinook,0,0
didson sonar,8/15/2018,1,Chinook,0,0
didson sonar,8/16/2018,1,Chinook,0,0
didson sonar,8/17/2018,1,Chinook,0,0
didson sonar,8/18/2018,1,Chinook,0,0
didson sonar,8/1/2018,0.96,pink,0,0
didson sonar,8/2/2018,0.97,pink,0,0
didson sonar,8/3/2018,0.8,pink,0,0
didson sonar,8/4/2018,1,pink,0,0
didson sonar,8/5/2018,1,pink,141,141
didson sonar,8/6/2018,1,pink,154,140
didson sonar,8/7/2018,1,pink,73,84
didson sonar,8/8/2018,1,pink,125,99
didson sonar,8/9/2018,1,pink,573,543
didson sonar,8/10/2018,1,pink,220,231
didson sonar,8/11/2018,1,pink,315,227
didson sonar,8/12/2018,0.9,pink,25,31
didson sonar,8/13/2018,1,pink,113,100
didson sonar,8/14/2018,1,pink,49,57
didson sonar,8/15/2018,1,pink,47,50
didson sonar,8/16/2018,1,pink,87,88
didson sonar,8/17/2018,1,pink,17,20
didson sonar,8/18/2018,1,pink,6,8
didson sonar,8/1/2018,0.96,coho,0,0
didson sonar,8/2/2018,0.97,coho,0,0
didson sonar,8/3/2018,0.8,coho,0,0
didson sonar,8/4/2018,1,coho,0,0
didson sonar,8/5/2018,1,coho,0,0
didson sonar,8/6/2018,1,coho,0,0
didson sonar,8/7/2018,1,coho,0,0
didson sonar,8/8/2018,1,coho,49,39
didson sonar,8/9/2018,1,coho,286,272
didson sonar,8/10/2018,1,coho,54,57
didson sonar,8/11/2018,1,coho,0,0
didson sonar,8/12/2018,0.9,coho,14,18
didson sonar,8/13/2018,1,coho,81,72
didson sonar,8/14/2018,1,coho,44,52
didson sonar,8/15/2018,1,coho,54,57
didson sonar,8/16/2018,1,coho,125,126
didson sonar,8/17/2018,1,coho,43,51
didson sonar,8/18/2018,1,coho,17,24
didson sonar,8/1/2018,0.96,chum,0,0
didson sonar,8/2/2018,0.97,chum,0,0
didson sonar,8/3/2018,0.8,chum,0,0
didson sonar,8/4/2018,1,chum,0,0
didson sonar,8/5/2018,1,chum,0,0
didson sonar,8/6/2018,1,chum,0,0
didson sonar,8/7/2018,1,chum,0,0
didson sonar,8/8/2018,1,chum,0,0
didson sonar,8/9/2018,1,chum,0,0
didson sonar,8/10/2018,1,chum,0,0
didson sonar,8/11/2018,1,chum,0,0
didson sonar,8/12/2018,0.9,chum,0,0
didson sonar,8/13/2018,1,chum,0,0
didson sonar,8/14/2018,1,chum,0,0
didson sonar,8/15/2018,1,chum,0,0
didson sonar,8/16/2018,1,chum,0,0
didson sonar,8/17/2018,1,chum,0,0
didson sonar,8/18/2018,1,chum,0,0
didson sonar,8/1/2018,0.96,dolly varden,0,0
didson sonar,8/2/2018,0.97,dolly varden,0,0
didson sonar,8/3/2018,0.8,dolly varden,0,0
didson sonar,8/4/2018,1,dolly varden,0,0
didson sonar,8/5/2018,1,dolly varden,0,0
didson sonar,8/6/2018,1,dolly varden,0,0
